# Number of main albums with 4 stars or more.
# Rereleases, anthologies and new releases of old live material are not counted.
# Which sub-genres (styles) were selected for each genre.
# Punk: punk, punk/new wave (also compilations and soundtracks with new material were counted > they are not counted in other genres)
# Hip-hop: all Rap styles
# Rnr: rockabilly, rock and roll, surf

year;punk;hip-hop;rnr
1955;0;0;1
1956;0;0;9
1957;0;0;8
1958;0;0;10
1959;0;0;16 - 
1960;0;0;20
1961;0;0;15
1962;0;0;19
1963;0;0;30
1964;0;0;32
1965;0;0;34
1966;0;0;43
1967;0;0;
1968;0;0;
1969;0;0;
1970;2;1;
1971;1;1;
1972;1;0;
1973;2;0;
1974;3;1;
1975;4;0;
1976;10;2;
1977;45;1;
1978;82;0;
1979;103;0;
1980;121;3;
1981;113;2;
1982;104;4;
1983;98;1;
1984;80;5;
1985;60;4;
1986;40;11;
1987;42;12;
1988;37;32;
1989;36;34;
1990;30;47;
1991;24;58;
1992;28;57;
1993;24;41;
1994;30;58;
1995;49;57;
1996;39;74;
1997;45;95;
1998;48;50;
1999;54;105;
2000;55;101;
2001;68;97;
2002;58;122;
2003;65;87;
2004;41;71;
2005;40;82;
2006;35;83;
2007;28;68;
2008;13;51;
2009;12;49;
2010;11;55;
2011;6;49;
2012;1;62;
2013;5;46;
2014;3;59;
2015;2;60;
2016;1;54;
